施打站代碼,施打站簡稱,施打站全稱,施打站縣市,施打站行政區,施打站地址,施打站經度,施打站緯度,時段,剩餘名額,預約網址,預約電話,爬蟲程式碼位置,資料抓取時間,疫苗代碼
0101090517b,,臺北市立聯合醫院-陽明院區,臺北市,士林區,台北市士林區雨聲街105號,121.531566,25.105194,,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=M&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-28389167,,,
0101090517f,,臺北市立聯合醫院-中興院區,臺北市,大同區,台北市大同區鄭州路145號2F,121.508887,25.050692,,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=G&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-25523234,,,
0101090517g,,臺北市立聯合醫院-忠孝院區,臺北市,南港區,臺北市南港區同德路87號,121.586157,25.046506,,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=Q&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-27861288,,,
0101090517h,,臺北市立聯合醫院-仁愛院區,臺北市,大安區,台北市大安區仁愛路四段10號,121.545302,25.03754,,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=F&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-27093600,,,
0101090517i,,臺北市立聯合醫院和平院區,臺北市,中正區,臺北市中華路2段33號,121.506703,25.035591,,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=H&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-23889595,,,
0111070010,,衛生福利部基隆醫院,基隆市,信義區,基隆市信義區信二路268號,121.748322,25.130455,,,https://netreg.kln.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_NetReg.aspx,02-24292525,,,
0117030010,,衛生福利部臺中醫院,臺中市,西區,臺中市西區三民路一段199號,120.675711,24.140225,,,https://www.taic.mohw.gov.tw/?aid=301&page_name=detail&iid=5897,04-22294411,,,
0122020517,,衛生福利部嘉義醫院,嘉義市,西區,嘉義市西區福全里北港路312號,120.4308,23.479849,,,https://chyiwww001.chyi.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0227&Date=&Noon=,05-2319090,,,
0131020016,,新北市立聯合醫院,新北市,三重區,新北市三重區新北大道1段3號、3之1號、板橋區英士路198號,121.49084,25.060869,,,https://reurl.cc/bzg9kE,02-29829111,,,
0131060010,,衛生福利部樂生療養院,新北市,新莊區,新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號,121.418,25.029343,,,https://reurl.cc/OXoZer,02-82006600,,,
0131060029,,衛生福利部臺北醫院,新北市,新莊區,新北市新莊區思源路127號、新北巿新莊區長春街6號2樓、3樓,121.459622,25.04324,,,https://reurl.cc/bzyZ5d,02-22765566,,,
0132010014,,衛生福利部桃園醫院,桃園市,桃園區,桃園市桃園區中山路1492號,121.268092,24.977705,,,https://reurl.cc/7yqroQ,03-3699721,,,
0132110519,,衛生福利部桃園醫院新屋分院,桃園市,新屋區,桃園市新屋區新屋村14鄰新福二路6號,121.107189,24.969856,,,https://bit.ly/3mJGgRf,03-4971989,,,
0135010016,,衛生福利部苗栗醫院,苗栗縣,苗栗市,苗栗縣苗栗市為公路747號,120.840405,24.575655,,,https://reg2.mil.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=CO02&Date=&Noon=,037-261920,,,
0136010010,,衛生福利部豐原醫院,臺中市,豐原區,臺中市豐原區安康路100號,120.725292,24.242706,,,https://web1.fyh.mohw.gov.tw/oinetregweb/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0119&Date=&Noon=,04-25271180,,,
